Created,Region,System Name,Body Name,Discovered By,Comment,
2019-10-16T12:24:49.000Z,Inner Orion Spur,Synuefe IJ-G b44-5,,HunabKU,,
2019-10-16T12:25:04.000Z,Inner Orion Spur,Synuefe IJ-G b44-5,,HunabKU,,
2019-10-16T12:37:38.000Z,Inner Orion Spur,Synuefe IJ-G b44-5,,HunabKU,,
2019-10-16T12:46:15.000Z,Inner Orion Spur,Synuefe IJ-G b44-5,,HunabKU,,
2019-10-16T13:09:14.000Z,Inner Orion Spur,Synuefe GJ-G b44-9,,HunabKU,,
2019-10-16T13:16:52.000Z,Inner Orion Spur,NGC 2451A Sector TO-R c4-3,,HunabKU,,
2019-10-16T13:24:35.000Z,Inner Orion Spur,NGC 2451A Sector RT-R c4-19,,HunabKU,,
2019-10-16T13:40:24.000Z,Inner Orion Spur,Synuefe DK-P c22-35,,HunabKU,,
2019-10-16T13:49:25.000Z,Inner Orion Spur,Synuefe FF-P c22-35,,HunabKU,,
2019-10-18T20:22:46.000Z,Inner Orion Spur,Synuefe RA-E b45-5,,Shoja,,
2019-10-18T20:26:32.000Z,Inner Orion Spur,Synuefe RA-E b45-5,,Shoja,,
2019-10-18T20:27:30.000Z,Inner Orion Spur,Synuefe RA-E b45-5,,Shoja,,
2019-10-18T21:09:54.000Z,Inner Orion Spur,Synuefe RA-E b45-5,,Shoja,,
2019-10-18T21:10:01.000Z,Inner Orion Spur,Synuefe RA-E b45-5,,Shoja,,
2019-10-18T21:16:41.000Z,Inner Orion Spur,Synuefe RA-E b45-5,,Shoja,,
2019-10-18T21:21:42.000Z,Inner Orion Spur,Synuefe RA-E b45-5,,Shoja,,
2019-10-20T02:03:46.000Z,Inner Orion Spur,Synuefe KU-F b44-4,,Louderthanu,,
2019-10-20T02:07:55.000Z,Inner Orion Spur,Synuefe KU-F b44-4,,Louderthanu,,
2019-10-20T02:12:20.000Z,Inner Orion Spur,Synuefe KU-F b44-4,,Louderthanu,,
2019-10-20T02:13:22.000Z,Inner Orion Spur,Synuefe KU-F b44-4,,Louderthanu,,
2019-10-25T00:49:25.000Z,Inner Orion Spur,Synuefe QA-E b45-4,,ArchAngel-7,,
2019-10-25T00:52:48.000Z,Inner Orion Spur,Synuefe QA-E b45-4,,ArchAngel-7,,
2019-10-25T01:04:41.000Z,Inner Orion Spur,Synuefe JZ-F b44-8,,ArchAngel-7,,
2019-10-25T01:07:11.000Z,Inner Orion Spur,Synuefe JZ-F b44-8,,ArchAngel-7,,
2019-10-25T01:07:20.000Z,Inner Orion Spur,Synuefe JZ-F b44-8,,ArchAngel-7,,
2019-10-25T04:18:38.000Z,Inner Orion Spur,Synuefe HA-P c22-22,,ArchAngel-7,,
2019-10-25T05:00:06.000Z,Inner Orion Spur,Synuefe RL-C b46-6,,ArchAngel-7,,
2019-10-25T05:53:49.000Z,Inner Orion Spur,Synuefe IT-F d12-5,,ArchAngel-7,,
2019-10-25T05:56:10.000Z,Inner Orion Spur,Synuefe IT-F d12-5,,ArchAngel-7,,
2019-10-25T22:17:04.000Z,Inner Orion Spur,HIP 36823,,ArchAngel-7,,
2019-10-25T22:22:59.000Z,Inner Orion Spur,HIP 36823,,ArchAngel-7,,
2019-10-25T22:54:05.000Z,Inner Orion Spur,Synuefe ZG-J d10-49,,ArchAngel-7,,
2019-10-25T22:56:02.000Z,Inner Orion Spur,Synuefe ZG-J d10-49,,ArchAngel-7,,
2019-10-25T23:03:12.000Z,Inner Orion Spur,NGC 2451A Sector LX-U d2-25,,ArchAngel-7,,
2019-10-25T23:34:20.000Z,Inner Orion Spur,Synuefe FU-E b45-5,,ArchAngel-7,,
2019-10-25T23:51:26.000Z,Inner Orion Spur,Synuefe HP-E b45-4,,ArchAngel-7,,
2019-10-26T00:08:50.000Z,Inner Orion Spur,Synuefe WL-J d10-113,,ArchAngel-7,,
