SiteId,Type,Journal Name,Entry Id,System Name,x,y,z,Region (Calculated),Region (Journal),Primary Star,Body Name,POI Id,Body Sub Type,Gravity,Distance To Arrival,Surface Temperature,Volcanism,Orbital Period,Rotational Period,Orbital Eccentricity,Discovered By,Discovered By,Discovered By,Discovered By,Discovered By
1,Unknown,,,164 G. CANIS MAJORIS,484.125,-31,-311.03125,Inner Orion Spur,Inner Orion Spur,B (Blue-White) Star, 5 C A,,Rocky body,0.109562408,1367,473,Major Silicate Vapour Geysers,0.2592377387,0.2668894902,,PanPiper,PanPiper,,,
2,Unknown,,,2MASS J10433563-5945136,8613.09375,-122.53125,2710.09375,Outer Orion Spur,Outer Orion Spur,A (Blue-White) Star, 1 A,,Rocky body,0.2350826734,4779,284,Metallic Magma,0.8836162311,0.88362427,0.000009,Baton,Baton,,,
3,Unknown,,,2MASS J10433563-5945136,8613.09375,-122.53125,2710.09375,Outer Orion Spur,Outer Orion Spur,A (Blue-White) Star, 2 B,5,Rocky body,0.05775303594,4750,208,Minor Metallic Magma,1.24803282,0.832022745,0.001323,Baton,Baton,,,
4,Unknown,,,2MASS J10433563-5945136,8613.09375,-122.53125,2710.09375,Outer Orion Spur,Outer Orion Spur,A (Blue-White) Star, 2 A,,Rocky body,0.05073627629,4753,213,Metallic Magma,0.8838736625,0.8838745631,0.00181,Baton,Baton,,,
5,Unknown,,,2MASS J10433739-6005084,8597,-168.25,2731.375,Outer Orion Spur,Outer Orion Spur,A (Blue-White) Star, B 1 A,,Rocky body,0.1538309014,309178,319,Minor Metallic Magma,1.342945602,1.280238806,0.000006,Baton,Baton,,,
6,Unknown,,,2MASS J10433739-6005084,8597,-168.25,2731.375,Outer Orion Spur,Outer Orion Spur,A (Blue-White) Star, B 2 D,,Rocky body,0.06800009782,308359,206,Major Silicate Vapour Geysers,0.4104209617,0.377600595,0.18767,Baton,Baton,,,
7,Unknown,,,2MASS J10444160-5947046,8614.1875,-116.6875,2733.03125,Outer Orion Spur,Outer Orion Spur,A (Blue-White) Star, 2 B A,,Rocky body,0.04655463871,2011,230,Major Silicate Vapour Geysers,0.2128692206,0.218547357,,Baton,Baton,,,
8,Unknown,,,COALSACK DARK REGION YJ-A D57,522.6875,6.15625,211.125,Inner Orion Spur,Inner Orion Spur,F (White) Star, 5 A A,,Rocky body,0.1197807507,3241,235,Major Silicate Vapour Geysers,0.8323725043,0.7947668909,0.002604,Baton,Baton,,,
9,Unknown,,,COL 132 SECTOR IN-S D4-64,1129.875,-26.78125,-694.03125,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, 5 A,,Rocky body,0.1671865484,2081,273,Minor Metallic Magma,1.347710503,1.347740614,0.000031,Baton,Baton,,,
10,Unknown,,,COL 132 SECTOR NT-Q D5-51,1159.375,-25.5,-601.71875,Inner Orion Spur,Inner Orion Spur,A (Blue-White) Star, 3 D,,Rocky body,0.1073848746,2318,209,Metallic Magma,0.7341882324,1.544368128,0.156985,Baton,Baton,,,
11,Unknown,,,COL 140 SECTOR IH-V D2-44,1152.65625,-67.09375,-452.78125,Inner Orion Spur,Inner Orion Spur,F (White) Star, 1 D A,,Rocky body,0.05134304675,1028,245,Major Silicate Vapour Geysers,0.3243649857,0.333398121,,Baton,Baton,,,
12,Unknown,,,COL 173 SECTOR BH-L D8-72,1091.5625,-214.3125,-15.40625,Inner Orion Spur,Inner Orion Spur,F (White) Star, B 5 A,,Rocky body,0.07450937443,878,496,Minor Metallic Magma,1.180631691,1.208569607,,Baton,Baton,,,
13,Unknown,,,COL 173 SECTOR BH-L D8-72,1091.5625,-214.3125,-15.40625,Inner Orion Spur,Inner Orion Spur,F (White) Star, B 5 A,,Rocky body,0.07450937443,878,496,Minor Metallic Magma,1.180631691,1.208569607,,Baton,Baton,,,
14,Unknown,,,COL 173 SECTOR BH-L D8-72,1091.5625,-214.3125,-15.40625,Inner Orion Spur,Inner Orion Spur,F (White) Star, B 5 A,,Rocky body,0.07450937443,878,496,Minor Metallic Magma,1.180631691,1.208569607,,Baton,Baton,,,
15,Unknown,,,COL 173 SECTOR BH-L D8-72,1091.5625,-214.3125,-15.40625,Inner Orion Spur,Inner Orion Spur,F (White) Star, B 5 A,,Rocky body,0.07450937443,878,496,Minor Metallic Magma,1.180631691,1.208569607,,Baton,Baton,,,
16,Unknown,,,COL 173 SECTOR DM-U D3-82,1134.0625,-74.875,-364.3125,Inner Orion Spur,Inner Orion Spur,F (White) Star, A 2 A,,Rocky body,0.07297220577,1980,244,Major Silicate Vapour Geysers,0.3877796314,0.6748716905,0.095883,Baton,Baton,,,
17,Unknown,,,COL 173 SECTOR GG-E B28-3,1212.34375,-162.9375,-95,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 1 A,,Rocky body,0.1015245715,17,483,Major Silicate Vapour Geysers,0.2698384603,0.2721162019,,Baton,Baton,,,
18,Unknown,,,COL 173 SECTOR GG-E B28-3,1212.34375,-162.9375,-95,Inner Orion Spur,Inner Orion Spur,M (Red dwarf) Star, A 1 A,,Rocky body,0.1015245715,17,483,Major Silicate Vapour Geysers,0.2698384603,0.2721162019,,Baton,Baton,,,
19,Unknown,,,COL 173 SECTOR HN-J D9-52,1217.8125,-241.40625,83.28125,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, 2 A,,Rocky body,0.1140448327,1140,216,Major Silicate Vapour Geysers,0.8476873553,-0.8476934136,0.000089,Baton,Baton,,,
20,Unknown,,,COL 173 SECTOR HN-J D9-52,1217.8125,-241.40625,83.28125,Inner Orion Spur,Inner Orion Spur,G (White-Yellow) Star, 2 B,,Rocky body,0.08871028097,1139,212,Minor Silicate Vapour Geysers,1.467784469,1.467794777,0.004959,Baton,Baton,,,
