System Name,Body Name,Type,POI Id,Latitude,Longitude,Cmdr,Journal
Col 173 Sector IE-R b34-3, B 2,Unknown,2,30.366468,8.262327,Seven,"{
    ""timestamp"": ""2020-11-21T20:13:26Z"",
    ""event"": ""ApproachSettlement"",
    ""Name"": ""$Ancient:#index=2;"",
    ""Name_Localised"": ""Ancient Ruins (2)"",
    ""SystemAddress"": 7288961443257,
    ""BodyID"": 28,
    ""BodyName"": ""Col 173 Sector IE-R b34-3 B 2"",
    ""Latitude"": 30.366468,
    ""Longitude"": 8.262327
}"
Col 173 Sector IE-R b34-3, B 2,Unknown,1,-12.138523,-1.321768,Seven,"{
    ""timestamp"": ""2020-11-21T20:13:26Z"",
    ""event"": ""ApproachSettlement"",
    ""Name"": ""$Ancient:#index=1;"",
    ""Name_Localised"": ""Ancient Ruins (1)"",
    ""SystemAddress"": 7288961443257,
    ""BodyID"": 28,
    ""BodyName"": ""Col 173 Sector IE-R b34-3 B 2"",
    ""Latitude"": -12.138523,
    ""Longitude"": -1.321768
}"
Col 173 Sector IE-R b34-3, B 2,Unknown,1,-9.965932,99.503258,Seven,"{
    ""timestamp"": ""2020-11-21T20:14:44Z"",
    ""event"": ""ApproachSettlement"",
    ""Name"": ""$Ancient:#index=1;"",
    ""Name_Localised"": ""Ancient Ruins (1)"",
    ""SystemAddress"": 7288961443257,
    ""BodyID"": 28,
    ""BodyName"": ""Col 173 Sector IE-R b34-3 B 2"",
    ""Latitude"": -9.965932,
    ""Longitude"": 99.503258
}"
Col 173 Sector LJ-F c12-0, B 6,Unknown,2,26.715349,142.798431,Seven,"{
    ""timestamp"": ""2020-12-04T16:32:58Z"",
    ""event"": ""ApproachSettlement"",
    ""Name"": ""$Ancient:#index=2;"",
    ""Name_Localised"": ""Ancient Ruins (2)"",
    ""SystemAddress"": 85865632434,
    ""BodyID"": 47,
    ""BodyName"": ""Col 173 Sector LJ-F c12-0 B 6"",
    ""Latitude"": 26.715349,
    ""Longitude"": 142.798431
}"
Col 173 Sector LJ-F c12-0, B 6,Unknown,3,27.326593,144.508224,Seven,"{
    ""timestamp"": ""2020-12-04T16:32:58Z"",
    ""event"": ""ApproachSettlement"",
    ""Name"": ""$Ancient:#index=3;"",
    ""Name_Localised"": ""Ancient Ruins (3)"",
    ""SystemAddress"": 85865632434,
    ""BodyID"": 47,
    ""BodyName"": ""Col 173 Sector LJ-F c12-0 B 6"",
    ""Latitude"": 27.326593,
    ""Longitude"": 144.508224
}"
Col 173 Sector LJ-F c12-0, B 6,Unknown,1,8.241577,101.968208,Seven,"{
    ""timestamp"": ""2020-12-04T16:32:59Z"",
    ""event"": ""ApproachSettlement"",
    ""Name"": ""$Ancient:#index=1;"",
    ""Name_Localised"": ""Ancient Ruins (1)"",
    ""SystemAddress"": 85865632434,
    ""BodyID"": 47,
    ""BodyName"": ""Col 173 Sector LJ-F c12-0 B 6"",
    ""Latitude"": 8.241577,
    ""Longitude"": 101.968208
}"
Col 173 Sector LJ-F c12-0, B 6,Unknown,3,27.326605,144.508224,Seven,"{
    ""timestamp"": ""2020-12-04T16:33:50Z"",
    ""event"": ""ApproachSettlement"",
    ""Name"": ""$Ancient:#index=3;"",
    ""Name_Localised"": ""Ancient Ruins (3)"",
    ""SystemAddress"": 85865632434,
    ""BodyID"": 47,
    ""BodyName"": ""Col 173 Sector LJ-F c12-0 B 6"",
    ""Latitude"": 27.326605,
    ""Longitude"": 144.508224
}"
Col 173 Sector LJ-F c12-0, B 6,Unknown,2,26.715342,142.798431,Seven,"{
    ""timestamp"": ""2020-12-04T16:33:50Z"",
    ""event"": ""ApproachSettlement"",
    ""Name"": ""$Ancient:#index=2;"",
    ""Name_Localised"": ""Ancient Ruins (2)"",
    ""SystemAddress"": 85865632434,
    ""BodyID"": 47,
    ""BodyName"": ""Col 173 Sector LJ-F c12-0 B 6"",
    ""Latitude"": 26.715342,
    ""Longitude"": 142.798431
}"
Col 173 Sector LJ-F c12-0, B 6,Unknown,3,27.326601,144.508224,Seven,"{
    ""timestamp"": ""2020-12-06T09:26:57Z"",
    ""event"": ""ApproachSettlement"",
    ""Name"": ""$Ancient:#index=3;"",
    ""Name_Localised"": ""Ancient Ruins (3)"",
    ""SystemAddress"": 85865632434,
    ""BodyID"": 47,
    ""BodyName"": ""Col 173 Sector LJ-F c12-0 B 6"",
    ""Latitude"": 27.326601,
    ""Longitude"": 144.508224
}"
Col 173 Sector LJ-F c12-0, B 6,Unknown,1,8.241592,101.968216,Seven,"{
    ""timestamp"": ""2020-12-06T09:26:57Z"",
    ""event"": ""ApproachSettlement"",
    ""Name"": ""$Ancient:#index=1;"",
    ""Name_Localised"": ""Ancient Ruins (1)"",
    ""SystemAddress"": 85865632434,
    ""BodyID"": 47,
    ""BodyName"": ""Col 173 Sector LJ-F c12-0 B 6"",
    ""Latitude"": 8.241592,
    ""Longitude"": 101.968216
}"
